Channel,Timestamp,X,Y,Z
0,110576191,0.001,-0.006,1.025
0,110578517,0,-0.001,1.008
0,110580844,-0.002,-0.001,1.041
0,110583170,-0.002,0.003,1.01
0,110585496,-0.006,0.005,1.04
0,110587822,-0.003,0.006,1.019
0,110590149,0,0.009,1.027
0,110592475,0.002,0.009,1.029
0,110594802,0.003,0.008,1.014
0,110597128,0.004,0.009,1.035
0,110599454,0.007,0.009,1.008
0,110601780,0.004,0.01,1.034
0,110604107,0.007,0.008,1.015
0,110606434,0.006,0.009,1.024
0,110608760,0.006,0.005,1.025
0,110611087,0.006,0.004,1.015
0,110613413,0.007,0,1.031
0,110615739,0.011,-0.002,1.005
0,110618066,0.011,-0.006,1.025
0,110620392,0.017,-0.008,1.002
0,110622719,0.018,-0.01,1.009
0,110625046,0.022,-0.012,1.008
0,110627373,0.022,-0.014,0.994
0,110629699,0.022,-0.016,1.013
0,110632026,0.025,-0.017,0.995
0,110634352,0.022,-0.016,1.021
0,110636679,0.022,-0.015,1.008
0,110639005,0.017,-0.014,1.017
2,110573485,0.002,-0.025,1.049
2,110575810,-0.004,-0.025,1.071
2,110578135,-0.007,-0.021,1.044
2,110580460,-0.012,-0.019,1.079
2,110582785,-0.013,-0.018,1.057
2,110585110,-0.015,-0.015,1.076
2,110587434,-0.013,-0.012,1.068
2,110589759,-0.01,-0.01,1.063
2,110592083,-0.008,-0.007,1.077
2,110594408,-0.009,-0.007,1.054
2,110596733,-0.005,-0.007,1.079
2,110599057,-0.004,-0.008,1.052
2,110601382,-0.006,-0.008,1.072
2,110603707,-0.003,-0.01,1.061
2,110606032,-0.004,-0.009,1.059
2,110608357,-0.004,-0.013,1.072
2,110610681,-0.002,-0.014,1.051
2,110613006,-0.002,-0.018,1.075
2,110615331,0.003,-0.019,1.05
2,110617656,0.004,-0.019,1.061
2,110619981,0.01,-0.024,1.047
2,110622306,0.013,-0.025,1.043
2,110624631,0.014,-0.027,1.049
2,110626955,0.017,-0.028,1.031
2,110629280,0.019,-0.03,1.056
2,110631605,0.018,-0.031,1.039
2,110633930,0.017,-0.029,1.055
2,110636255,0.015,-0.031,1.052
2,110638580,0.013,-0.029,1.05
2,110640906,0.011,-0.029,1.062
0,110641332,0.018,-0.013,1.016
0,110643658,0.015,-0.01,1.007
0,110645984,0.014,-0.009,1.018
0,110648310,0.016,-0.005,1.001
0,110650637,0.013,-0.002,1.016
0,110652963,0.016,-0.003,1
0,110655290,0.012,0.001,1.012
0,110657616,0.011,0.002,1.018
0,110659942,0.008,0.004,1.011
0,110662269,0.007,0.006,1.031
0,110664595,0.005,0.009,1.021
0,110666922,0.001,0.008,1.038
0,110669248,0,0.008,1.029
0,110671574,-0.001,0.01,1.031
0,110673900,-0.001,0.008,1.03
0,110676226,-0.001,0.007,1.018
0,110678552,-0.002,0.007,1.025
0,110680878,0.001,0.006,1.01
0,110683204,-0.001,0.003,1.02
0,110685530,0.003,0.001,1.016
0,110687856,0.002,-0.002,1.019
0,110690182,0.005,-0.003,1.027
0,110692508,0.005,-0.006,1.019
0,110694834,0.007,-0.006,1.029
0,110697161,0.008,-0.006,1.019
0,110699487,0.007,-0.009,1.027
0,110701813,0.258,0.016,-0.319
0,110704139,-0.139,-0.421,0.797
0,110706466,-0.12,0.391,3.484
0,110708792,0.187,-0.021,0.658
